Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def_3rd_Tackles,Mid_3rd_Tackles,Att_3rd_Tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks,Sh_blocked,Pass_blocked,Int,Tkl+Int,Clr,Err,Cmp,Att,Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA_x,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,MP,Starts,Min,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_Pen,games,time,goals,xG,assists,xA_y,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup,market_value_in_eur_y
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19.0,0.06371191135734072,0.05263157894736842,0.0443213296398892,0.019390581717451522,0.0,0.030470914127423823,0.04709141274238227,64.7,0.016620498614958446,0.060941828254847646,0.0443213296398892,0.016620498614958446,0.07202216066481995,0.13573407202216067,0.22437673130193908,0.0,3.3240997229916895,3.5927977839335177,92.5,61.7174515235457,17.058171745152354,1.1246537396121883,1.2022160664819943,93.5,1.9307479224376731,2.0138504155124655,95.9,0.2299168975069252,0.2936288088642659,78.3,0.0027700831024930735,0.001662049861495842,0.0038781163434903,0.0011080332409972263,0.024930747922437668,0.1634349030470914,0.022160664819944595,0.013850415512465374,0.17174515235457063,0.055401662049861494,0.055401662049861494,0.0,0.0,0.0,0.0,0.0,0.0027700831024930735,0.00013850415512465264,0.0027700831024930735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1695.0,0.0,0.0009338446271056264,0.0027700831024930735,0.001925794660549742,0.013850415512465374,0.022160664819944595,0.0,0.0,0.0,0.0009338446271056264,0.021119000746190053,0.020590086614615036,4650000
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,8.88888888888889,12.0,74.1,148.44444444444443,21.333333333333332,4.0,5.333333333333333,75.0,3.111111111111111,4.0,77.8,1.3333333333333333,2.222222222222222,60.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.4444444444444444,0.0,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,122.0,0.0,0.19162866804334847,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.19162866804334847,0.2228257126278347,0.0311970445844862,1500000
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,11.9,0.028246592754748955,0.021184944566061712,0.007061648188687235,0.014123296377374478,0.007061648188687235,0.021184944566061712,0.028246592754748955,75.0,0.007061648188687235,0.014123296377374478,0.007061648188687235,0.007061648188687235,0.007061648188687235,0.035308240943436195,0.035308240943436195,0.007061648188687235,0.7909045971329707,1.2640350257750157,62.6,10.874938210578348,1.3982063413600732,0.5084386695854812,0.7132264670574112,71.3,0.22597274203799164,0.3460207612456747,65.3,0.021184944566061712,0.07061648188687239,30.0,0.007061648188687235,0.007061648188687235,0.0007061648188687226,0.0,0.08473977826424688,0.05649318550949791,0.0,0.0,0.04236988913212344,0.176541204717181,0.12710966739637033,0.0,0.028246592754748955,0.007061648188687235,0.014123296377374478,0.0,0.035308240943436195,0.0029658922392486386,0.014123296377374478,0.0,0.007061648188687235,0.0,0.014123296377374478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,122.0,0.0,0.0030447320323249327,0.0,0.0,0.014123296377374478,0.0,0.0,0.0,0.0,0.0030447320323249327,0.003540412777435403,0.0004956807451104706,1500000
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,21.8,0.17464859860281123,0.10520999915832001,0.0547091995623264,0.10310579917515361,0.016833599865331197,0.08206379934348959,0.1515023987879808,54.2,0.06943859944449121,0.06943859944449121,0.021041999831664,0.0483965996128272,0.0673343994613248,0.241982998064136,0.08837639929298881,0.0,1.8979883848160928,2.2493897820048816,84.4,30.13635215890918,7.41730494066156,0.9195353926437169,1.0289537917683695,89.4,0.8269505933843952,0.9321605925427152,88.7,0.07995959936032321,0.136772998905816,58.5,0.006312599949499197,0.0021041999831663987,0.0016833599865331192,0.0042083999663327975,0.0378755996969952,0.1409813988721488,0.008416799932665595,0.0021041999831663987,0.15991919872064642,0.08627219930982241,0.073646999410824,0.0,0.0,0.0021041999831663987,0.0021041999831663987,0.008416799932665595,0.008416799932665595,0.00037875599696994956,0.006312599949499197,0.0,0.0,0.0,0.0,0.0021041999831663987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1965.0,0.0,0.0029606811903550682,0.006312599949499197,0.0031708074736280087,0.0189377998484976,0.0378755996969952,0.014729399882164798,0.0,0.0,0.0029606811903550682,0.01600564450186096,0.01087705285890645,15000000
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,17.2,0.03042184964845863,0.01014061654948621,0.01014061654948621,0.01014061654948621,0.01014061654948621,0.01014061654948621,0.03718226068144943,27.3,0.02704164413196322,0.047322877230935645,0.0,0.047322877230935645,0.04056246619794484,0.07098431584640347,0.06760411032990808,0.0,0.6692806922660898,1.0546241211465657,63.5,8.031368307193077,1.0681449432125472,0.41914548404543,0.6084369929691726,68.9,0.16224986479177936,0.23661438615467822,68.6,0.006760411032990803,0.02028123309897242,33.3,0.006760411032990803,0.008112493239588965,0.006422390481341262,-0.0013520822065981569,0.05746349378042186,0.023661438615467822,0.02704164413196322,0.0,0.047322877230935645,0.09802595997836669,0.07436452136289885,0.0,0.0033802055164954014,0.01014061654948621,0.01014061654948621,0.0,0.01014061654948621,0.0005746349378042152,0.006760411032990803,0.0,0.0,0.0033802055164954014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1579.0,0.006760411032990803,0.021369705361874727,0.006760411032990803,0.006941930458766623,0.12506760411032994,0.05746349378042186,0.016901027582477014,0.0033802055164954014,0.006760411032990803,0.021369705361874727,0.028003908249535966,0.0033032784544197386,4000000
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,15.7,0.06896831514463062,0.05274047628707047,0.0446265568582904,0.02434175828634022,0.0,0.03245567771512029,0.04868351657268044,66.7,0.016227838857560142,0.036512637429510324,0.028398718000730256,0.008113919428780071,0.0446265568582904,0.11359487200292102,0.32455677715120296,0.0,4.377459531826849,4.803440301837803,91.1,80.34808714349468,28.98292019960242,1.6471256440423547,1.7242078786157657,95.5,2.446346707777192,2.580226378352063,94.8,0.26775934114974237,0.442208608868514,60.6,0.004056959714390032,0.0008113919428780064,0.0008113919428780064,0.0032455677715120257,0.004056959714390032,0.25153150229218224,0.004056959714390032,0.0,0.17039230800438154,0.06085439571585055,0.03245567771512029,0.0,0.0,0.02434175828634022,0.0,0.004056959714390032,0.004056959714390032,0.0002434175828634013,0.0,0.0,0.0,0.004056959714390032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1410.0,0.004056959714390032,0.004811470046451427,0.004056959714390032,0.0013555889935071529,0.05274047628707047,0.008113919428780071,0.016227838857560142,0.0,0.004056959714390032,0.004811470046451427,0.03476665295983015,0.03468570155076282,12000000
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,15.9,0.07911079466793242,0.05537755626755271,0.02373323840037973,0.02373323840037973,0.03164431786717298,0.03164431786717298,0.07911079466793242,40.0,0.04746647680075946,0.05537755626755271,0.003955539733396617,0.05142201653415608,0.027688778133776352,0.1067995728017088,0.019777698666983104,0.0,1.1787508405521934,1.5861714330920453,74.3,17.309441873343616,3.5164748229895966,0.6487085162770461,0.7990190261461176,81.2,0.39159843360626556,0.4865313872077845,80.5,0.06328863573434595,0.0909774138681223,69.6,0.02373323840037973,0.02373323840037973,0.01621771290692615,0.0,0.11075511253510542,0.039555397333966215,0.07515525493453583,0.00791107946679324,0.11075511253510542,0.22546576480360744,0.13844389066888177,0.003955539733396617,0.04746647680075946,0.02373323840037973,0.00791107946679324,0.003955539733396617,0.04351093706736284,0.0027293224160436667,0.027688778133776352,0.0,0.011866619200189861,0.003955539733396617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1462.0,0.027688778133776352,0.022713245325844653,0.02373323840037973,0.02914176474553649,0.1819548277362446,0.11471065226850204,0.015822158933586485,0.0,0.027688778133776352,0.022713245325844653,0.06118220060923484,0.014129225048977925,24000000
Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,2002,12.2,0.1545283525933889,0.09406073636119325,0.06718624025799518,0.05374899220639614,0.03359312012899759,0.06718624025799518,0.17468422467078745,38.5,0.10749798441279228,0.0806234883095942,0.0,0.0806234883095942,0.05374899220639614,0.20827734479978502,0.0403117441547971,0.013437248051599035,1.94840096748186,2.5665143778554156,75.9,27.868852459016395,5.509271701155605,1.2563826928245097,1.4579414135984952,86.2,0.5442085460897609,0.7323300188121474,74.3,0.10749798441279228,0.194840096748186,55.2,0.013437248051599035,0.016796560064498787,0.01881214727223864,-0.003359312012899754,0.10749798441279228,0.03359312012899759,0.11421660843859179,0.0403117441547971,0.12093523246439132,0.3157753292125772,0.22171459285138406,0.0,0.0403117441547971,0.05374899220639614,0.0,0.0,0.047030368180596624,0.003829615694705722,0.03359312012899759,0.0,0.006718624025799517,0.006718624025799517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1081.0,0.013437248051599035,0.02108349618010145,0.013437248051599035,0.01388285227732628,0.2284332168771836,0.10749798441279228,0.0,0.0,0.013437248051599035,0.02108349618010145,0.03871988368467662,0.014568602759366034,8000000
Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,8.5,0.20761245674740483,0.12456747404844291,0.05536332179930795,0.027681660899653977,0.12456747404844291,0.05536332179930795,0.1522491349480969,36.4,0.09688581314878893,0.1522491349480969,0.0,0.1522491349480969,0.0,0.20761245674740483,0.05536332179930795,0.0,3.695501730103806,4.982698961937716,74.2,46.7681660899654,9.97923875432526,2.3529411764705883,2.7958477508650526,84.2,0.9965397923875433,1.3702422145328719,72.7,0.08304498269896195,0.26297577854671284,31.6,0.0,0.009688581314878883,0.02629757785467127,-0.009688581314878883,0.1522491349480969,0.12456747404844291,0.20761245674740483,0.05536332179930795,0.3321799307958478,0.4013840830449827,0.26297577854671284,0.0,0.027681660899653977,0.05536332179930795,0.05536332179930795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,733.0,0.027681660899653977,0.03888618853265439,0.0,0.012700711309291082,0.26297577854671284,0.1384083044982699,0.04152249134948097,0.0,0.027681660899653977,0.03888618853265439,0.07453719647697925,0.03288170597338759,12000000
Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,13.7,0.170493899515158,0.10123075283712506,0.058607277958335556,0.085246949757579,0.026639671799243432,0.09057488411742769,0.2077894400340988,43.6,0.11721455591667111,0.06926314667803293,0.005327934359848687,0.06393521231818425,0.03196760615909212,0.20246150567425011,0.10123075283712506,0.0,3.825456870371358,4.741861580265332,80.7,74.85747775587406,24.51915392402366,1.5930523735947573,1.7688742074697643,90.1,1.550428898715968,1.7635462731099154,87.9,0.6180403857424478,1.0282913314507967,60.1,0.03196760615909212,0.012787042463636848,0.01172145559166711,0.01918056369545527,0.1225424902765198,0.44754648622728976,0.085246949757579,0.021311737439394747,0.5487772390644148,0.26639671799243436,0.18647770259470403,0.05327934359848687,0.010655868719697374,0.010655868719697374,0.005327934359848687,0.0,0.05327934359848687,0.0038893920826895407,0.03196760615909212,0.010655868719697374,0.005327934359848687,0.005327934359848687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1246.0,0.021311737439394747,0.0048059351475112115,0.03196760615909212,0.018566797013911628,0.07459108103788162,0.1225424902765198,0.005327934359848687,0.005327934359848687,0.021311737439394747,0.0048059351475112115,0.03584761197740125,0.023372573580048437,8500000
