Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def_3rd_Tackles,Mid_3rd_Tackles,Att_3rd_Tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks,Sh_blocked,Pass_blocked,Int,Tkl+Int,Clr,Err,Cmp,Att,Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA_x,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_Pen,games,time,goals,xG,assists,xA_y,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup,market_value_in_eur_y
Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,2002,12.2,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2,290,382,75.9,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,2,2.5,2.8,-0.5,16,5,17,6,18,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,1081.0,2,3.1380675714463,2.0,2.066323732957244,34.0,16.0,0.0,0.0,2.0,3.1380675714463,5.763067487627268,2.168390834704041,8000000
Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,8.5,15,9,4,2,9,4,11,36.4,7,11,0,11,0,15,4,0,267,360,74.2,3379,721,170,202,84.2,72,99,72.7,6,19,31.6,0,0.7,1.9,-0.7,11,9,15,4,24,29,3.41,19,0,2,4,4,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,733.0,2,2.80952712148428,0.0,0.917626392096281,19.0,10.0,3.0,0.0,2.0,2.80952712148428,5.38531244546175,2.3757032565772533,12000000
Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,13.7,32,19,11,16,5,17,39,43.6,22,13,1,12,6,38,19,0,718,890,80.7,14050,4602,299,332,90.1,291,331,87.9,116,193,60.1,6,2.4,2.2,+3.6,23,84,16,4,103,50,3.64,35,10,2,2,1,0,10,0.73,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1246.0,4,0.90202596783638,6.0,3.4848021315410733,14.0,23.0,1.0,1.0,4.0,0.90202596783638,6.728238292038441,4.386798335239291,8500000
Adrián,es ESP,GK,Betis,es La Liga,37,1987,19.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,3,474,619,76.6,12206,8309,74,76,97.4,265,268,98.9,134,269,49.8,0,0.0,0.0,0.0,0,4,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,19,19,1710,27,1.42,76,49,65.8,10,5,4,3,15.8,1,1,0,0,0.0,19.0,1710.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.354312153533101,2.354312153533101,3000000
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,8.0,18,13,8,7,3,10,14,71.4,4,4,1,3,7,25,6,0,366,419,87.4,6537,1452,165,179,92.2,153,169,90.5,41,53,77.4,0,0.4,0.6,-0.4,8,41,5,2,33,18,2.23,15,2,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,729.0,0,0.4345237482339144,0.0,0.3845790233463049,10.0,8.0,2.0,0.0,0.0,0.4345237482339144,1.69877275172621,1.2707355553284287,3500000
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,1998,18.2,17,8,4,8,5,7,19,36.8,12,17,1,16,8,25,20,0,320,461,69.4,5556,1270,148,185,80.0,129,165,78.2,35,55,63.6,1,3.8,3.6,-2.8,21,23,14,10,32,52,2.86,28,0,12,7,5,0,6,0.33,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,1644.0,3,3.067957188934088,1.0,3.728218238800764,38.0,22.0,3.0,0.0,3.0,3.067957188934088,8.217836495488882,2.534572133794427,1200000
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,1997,15.7,30,19,21,9,0,13,20,65.0,7,19,13,6,12,42,90,0,855,1001,85.4,17344,6203,276,299,92.3,466,501,93.0,107,181,59.1,0,0.2,0.3,-0.2,4,40,1,0,31,17,1.09,15,2,0,0,0,0,3,0.19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,1414.0,1,0.69438168220222,0.0,0.1891781575977802,7.0,4.0,3.0,0.0,1.0,0.69438168220222,3.78240617364645,3.7525524757802486,2750000
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,14.0,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64,1,810,922,87.9,16521,6962,293,316,92.7,400,417,95.9,110,174,63.2,0,0.3,0.3,-0.3,8,71,4,1,77,21,1.50,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,1414.0,1,0.69438168220222,0.0,0.1891781575977802,7.0,4.0,3.0,0.0,1.0,0.69438168220222,3.78240617364645,3.7525524757802486,2750000
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,14,14,1206,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0,14.0,1212.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.1538388207554817,3.1538388207554817,5000000
Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24,1999,19.5,30,14,12,14,4,12,23,52.2,11,27,9,18,21,51,48,0,655,822,79.7,10350,3456,336,379,88.7,244,298,81.9,50,81,61.7,0,1.8,2.5,-1.8,20,36,22,12,43,35,1.80,30,1,2,0,2,0,1,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,1786.0,3,2.230589810758829,0.0,2.077587559819221,10.0,20.0,1.0,0.0,3.0,2.230589810758829,8.308103524148464,4.878118548542261,1500000
Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28,1996,4.9,5,2,3,2,0,3,9,33.3,6,7,1,6,4,9,5,1,193,248,77.8,3748,1187,63,81,77.8,99,116,85.3,28,40,70.0,1,0.6,0.4,+0.4,4,31,8,3,37,16,3.25,13,1,1,1,0,0,1,0.20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,421.0,0,0.4823393300175667,1.0,0.7499874103814363,10.0,4.0,3.0,0.0,0.0,0.4823393300175667,1.5331731978803873,0.7499846667051315,600000
Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16,2008,3.0,7,5,2,3,2,7,10,70.0,3,4,0,4,1,8,9,0,51,76,67.1,868,299,24,32,75.0,24,34,70.6,3,7,42.9,0,0.1,0.1,-0.1,2,0,0,0,3,5,1.67,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,263.0,0,0.6984457075595856,0.0,0.064913185313344,3.0,2.0,0.0,0.0,0.0,0.6984457075595856,0.5303681567311287,0.0726009905338287,3000000
Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22,2001,0.5,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,10,13,76.9,125,21,7,7,100.0,2,4,50.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1699562445282936,0.1699562445282936,350000
Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28,1995,6.5,5,5,3,2,0,2,3,66.7,1,8,4,4,5,10,26,1,337,378,89.2,7044,2518,80,87,92.0,215,226,95.1,41,63,65.1,0,0.0,0.1,0.0,0,9,2,0,14,1,0.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,589.0,0,0.0353296548128128,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0353296548128128,1.807937577366829,1.807937577366829,4000000
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28,1995,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,85.7,126,81,1,1,100.0,5,5,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,589.0,0,0.0353296548128128,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0353296548128128,1.807937577366829,1.807937577366829,4000000
Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27,1996,33.3,55,42,39,15,1,36,64,56.3,28,34,12,22,33,88,115,4,994,1352,73.5,15371,6297,530,598,88.6,374,502,74.5,57,166,34.3,1,1.4,2.2,-0.4,16,85,23,11,107,62,1.86,49,5,3,1,3,1,4,0.12,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,3020.0,2,0.4608655953779816,1.0,2.045018967241049,11.0,16.0,5.0,0.0,2.0,0.4608655953779816,10.08774260431528,8.546997111290693,6250000
